Name,Division,Conference,City,State,Academic_Website,Athletic_Website,NCAA_ID,Data_Quality
"Idaho State University","NCAA DI","Big Sky Conference","","ID","https://www.isu.edu","https://www.isubengals.com","294",100
"Illinois State University","NCAA DI","Missouri Valley Conference","","IL","https://IllinoisState.edu","https://GoRedbirds.com","299",100
"Indiana State University","NCAA DI","Missouri Valley Conference","","IN","https://www.indstate.edu","https://www.gosycamores.com","305",100
"Indiana University Indianapolis","NCAA DI","Horizon League","","IN","https://indianapolis.iu.edu/","https://iuindyjags.com/","2699",100
"Indiana University, Bloomington","NCAA DI","Big Ten Conference","","IN","https://www.iub.edu","https://www.iuhoosiers.com","306",100
"Iona University","NCAA DI","Metro Atlantic Athletic Conference","","NY","https://www.iona.edu","https://www.ionagaels.com","310",100
"Iowa State University","NCAA DI","Big 12 Conference","","IA","https://www.iastate.edu","https://www.cyclones.com","311",100
"Jackson State University","NCAA DI","Southwestern Athletic Conf.","","MS","https://www.jsums.edu/","https://www.gojsutigers.com","314",100
"Jacksonville State University","NCAA DI","Conference USA","","AL","https://www.jsu.edu","https://www.jaxstatesports.com","315",100
"Jacksonville University","NCAA DI","Atlantic Sun Conference","","FL","https://www.ju.edu","https://www.judolphins.com","316",100
"James Madison University","NCAA DI","Sun Belt Conference","","VA","https://www.jmu.edu/","https://www.jmusports.com","317",100
"Kansas State University","NCAA DI","Big 12 Conference","","KS","https://www.k-state.edu","https://www.kstatesports.com","327",100
"Kennesaw State University","NCAA DI","Conference USA","","GA","https://www.kennesaw.edu/","https://www.ksuowls.com","1157",100
"Kent State University","NCAA DI","Mid-American Conference","","OH","https://www.kent.edu","https://www.kentstatesports.com","331",100
"La Salle University","NCAA DI","Atlantic 10 Conference","","PA","https://www.lasalle.edu/","https://www.goexplorers.com/","340",100
"Lafayette College","NCAA DI","Patriot League","","PA","https://www.lafayette.edu","https://www.goleopards.com","342",100
"Lamar University","NCAA DI","Southland Conference","","TX","https://www.lamar.edu","https://www.lamarcardinals.com","346",100
"Lehigh University","NCAA DI","Patriot League","","PA","https://www.lehigh.edu","https://www.lehighsports.com","352",100
"Liberty University","NCAA DI","Conference USA","","VA","https://www.liberty.edu","https://www.LibertyFlames.com","355",100
"Lindenwood University","NCAA DI","Ohio Valley Conference","","MO","https://www.lindenwood.edu","https://lindenwoodlions.com","30136",100
"Lipscomb University","NCAA DI","Atlantic Sun Conference","","TN","https://www.lipscomb.edu","https://www.lipscombsports.com","28600",100
"Long Beach State University","NCAA DI","Big West Conference","","CA","https://www.csulb.edu","https://longbeachstate.com","99",100
"Long Island University","NCAA DI","Northeast Conference","","NY","https://liu.edu","https://www.liuathletics.com","361",100
"Longwood University","NCAA DI","Big South Conference","","VA","https://www.longwood.edu/","https://longwoodlancers.com","363",100
"Louisiana State University","NCAA DI","Southeastern Conference","","LA","https://www.lsu.edu","https://www.lsusports.net","365",100
"Louisiana Tech University","NCAA DI","Conference USA","","LA","https://www.latech.edu/","https://www.latechsports.com/","366",100
"Loyola Marymount University","NCAA DI","West Coast Conference","","CA","https://www.lmu.edu","https://www.LMULions.com","370",100
"Loyola University Chicago","NCAA DI","Atlantic 10 Conference","","IL","https://www.luc.edu","https://www.loyolaramblers.com","371",100
"Loyola University Maryland","NCAA DI","Patriot League","","MD","https://www.loyola.edu","https://www.loyolagreyhounds.com","369",100
"Manhattan University","NCAA DI","Metro Atlantic Athletic Conference","","NY","https://www.manhattan.edu","https://www.gojaspers.com","381",100
"Marist University","NCAA DI","Metro Atlantic Athletic Conference","","NY","https://marist.edu","https://goredfoxes.com","386",100
"Marquette University","NCAA DI","Big East Conference","","WI","https://www.marquette.edu","https://www.gomarquette.com","387",100
"Marshall University","NCAA DI","Sun Belt Conference","","WV","https://www.marshall.edu","https://www.herdzone.com","388",100
"McNeese State University","NCAA DI","Southland Conference","","LA","https://www.mcneese.edu/","https://www.mcneesesports.com","402",100
"Mercer University","NCAA DI","Southern Conference","","GA","https://www2.mercer.edu/default.htm","https://www.mercerbears.com","406",100
"Merrimack College","NCAA DI","Metro Atlantic Athletic Conference","","MA","https://www.merrimack.edu","https://www.merrimackathletics.com","410",100
"Miami University (Ohio)","NCAA DI","Mid-American Conference","","OH","https://www.miamiOH.edu","https://www.miamiredhawks.com","414",100
"Michigan State University","NCAA DI","Big Ten Conference","","MI","https://www.msu.edu","https://msuspartans.com/","416",100
"Middle Tennessee State University","NCAA DI","Conference USA","","TN","https://www.mtsu.edu/","https://www.goblueraiders.com","419",100
"Mississippi State University","NCAA DI","Southeastern Conference","","MS","https://www.msstate.edu","https://www.hailstate.com","430",100
"Mississippi Valley State University","NCAA DI","Southwestern Athletic Conf.","","MS","https://www.mvsu.edu","https://www.mvsusports.com","432",100
"Missouri State University","NCAA DI","Conference USA","","MO","https://www.missouristate.edu","https://www.missouristatebears.com","669",100
"Monmouth University","NCAA DI","Coastal Athletic Association","","NJ","https://www.monmouth.edu/","https://www.monmouthhawks.com","439",100
"Montana State University-Bozeman","NCAA DI","Big Sky Conference","","MT","https://www.montana.edu/","https://www.msubobcats.com","440",100
"Morehead State University","NCAA DI","Ohio Valley Conference","","KY","https://www.moreheadstate.edu","https://www.msueagles.com","444",100
"Morgan State University","NCAA DI","Mid-Eastern Athletic Conf.","","MD","https://www.morgan.edu","https://www.morganstatebears.com","446",100
"Mount St. Mary's University","NCAA DI","Metro Atlantic Athletic Conference","","MD","https://www.msmary.edu","https://www.mountathletics.com","450",100
"Murray State University","NCAA DI","Missouri Valley Conference","","KY","https://www.murraystate.edu/","https://www.goracers.com","454",100
"New Jersey Institute of Technology","NCAA DI","America East Conference","","NJ","https://www.njit.edu","https://www.njithighlanders.com","471",100
"New Mexico State University","NCAA DI","Conference USA","","NM","https://www.nmsu.edu","https://www.nmstatesports.com","472",100
"Niagara University","NCAA DI","Metro Atlantic Athletic Conference","","NY","https://www.niagara.edu","https://www.purpleeagles.com","482",100
"Nicholls State University","NCAA DI","Southland Conference","","LA","https://www.nicholls.edu","https://www.geauxcolonels.com","483",100
"Norfolk State University","NCAA DI","Mid-Eastern Athletic Conf.","","VA","https://www.nsu.edu","https://www.nsuspartans.com","485",100
"North Carolina A&T State University","NCAA DI","Coastal Athletic Association","","NC","https://www.ncat.edu","https://www.ncataggies.com","488",100
"North Carolina Central University","NCAA DI","Mid-Eastern Athletic Conf.","","NC","https://www.nccu.edu","https://www.nccueaglepride.com","489",100
"North Carolina State University","NCAA DI","Atlantic Coast Conference","","NC","https://www.ncsu.edu","https://www.gopack.com","490",100
"North Dakota State University","NCAA DI","The Summit League","","ND","https://www.ndsu.edu/","https://www.GoBison.com","493",100
"Northeastern University","NCAA DI","Coastal Athletic Association","","MA","https://www.northeastern.edu","https://www.nuhuskies.com","500",100
"Northern Arizona University","NCAA DI","Big Sky Conference","","AZ","https://www.nau.edu","https://www.nauathletics.com","501",100
"Northern Illinois University","NCAA DI","Mid-American Conference","","IL","https://www.niu.edu","https://www.niuhuskies.com","503",100
"Northern Kentucky University","NCAA DI","Horizon League","","KY","https://www.nku.edu","https://www.nkunorse.com","505",100
"Northwestern State University","NCAA DI","Southland Conference","","LA","https://www.nsula.edu","https://www.nsudemons.com","508",100
"Northwestern University","NCAA DI","Big Ten Conference","","IL","https://www.northwestern.edu","https://www.nusports.com","509",100
"Oakland University","NCAA DI","Horizon League","","MI","https://www.oakland.edu","https://goldengrizzlies.com","514",100
"Ohio University","NCAA DI","Mid-American Conference","","OH","https://www.ohio.edu","https://www.ohiobobcats.com","519",100
"Oklahoma State University","NCAA DI","Big 12 Conference","","OK","https://www.okstate.edu","https://www.okstate.com","521",100
"Old Dominion University","NCAA DI","Sun Belt Conference","","VA","https://www.odu.edu","https://www.odusports.com","523",100
"Oral Roberts University","NCAA DI","The Summit League","","OK","https://www.oru.edu","https://www.oruathletics.com","527",100
"Oregon State University","NCAA DI","Pac-12 Conference","","OR","https://oregonstate.edu/","https://osubeavers.com/","528",100
"Pennsylvania State University","NCAA DI","Big Ten Conference","","PA","https://www.psu.edu","https://goPSUsports.com","539",100
"Pepperdine University","NCAA DI","West Coast Conference","","CA","https://www.pepperdine.edu/","https://www.pepperdinewaves.com","541",100
"Portland State University","NCAA DI","Big Sky Conference","","OR","https://pdx.edu","https://goviks.com","550",100
"Prairie View A&M University","NCAA DI","Southwestern Athletic Conf.","","TX","https://www.pvamu.edu","https://www.pvpanthers.com","553",100
"Presbyterian College","NCAA DI","Big South Conference","","SC","https://presby.edu","https://gobluehose.com","1320",100
"Princeton University","NCAA DI","The Ivy League","","NJ","https://www.princeton.edu","https://www.goprincetontigers.com","554",100
"Providence College","NCAA DI","Big East Conference","","RI","https://www.providence.edu/","https://www.friars.com","556",100
"Purdue University","NCAA DI","Big Ten Conference","","IN","https://www.purdue.edu","https://purduesports.com","559",100
"Purdue University Fort Wayne","NCAA DI","Horizon League","","IN","https://www.pfw.edu/","https://www.gomastodons.com/","308",100
"Queens University of Charlotte","NCAA DI","Atlantic Sun Conference","","NC","https://www.queens.edu","https://www.queensathletics.com","11504",100
"Quinnipiac University","NCAA DI","Metro Atlantic Athletic Conference","","CT","https://www.quinnipiac.edu","https://www.gobobcats.com","562",100
"Radford University","NCAA DI","Big South Conference","","VA","https://www.radford.edu/","https://www.radfordathletics.com","563",100
"Rice University","NCAA DI","American Conference","","TX","https://www.rice.edu","https://www.riceowls.com","574",100
"Rider University","NCAA DI","Metro Atlantic Athletic Conference","","NJ","https://www.rider.edu","https://www.gobroncs.com","576",100
"Robert Morris University","NCAA DI","Horizon League","","PA","https://www.rmu.edu","https://www.rmucolonials.com","579",100
"Rutgers, The State University of New Jersey, New Brunswick","NCAA DI","Big Ten Conference","","NJ","https://www.rutgers.edu","https://www.scarletknights.com","587",100
"Sacred Heart University","NCAA DI","Metro Atlantic Athletic Conference","","CT","https://www.sacredheart.edu","https://sacredheartpioneers.com","590",100
"Saint Francis University ","NCAA DI","Northeast Conference","","PA","https://www.francis.edu","https://www.sfuathletics.com","600",100
"Saint Joseph's University","NCAA DI","Atlantic 10 Conference","","PA","https://www.sju.edu","https://sjuhawks.com","606",100
"Saint Louis University","NCAA DI","Atlantic 10 Conference","","MO","https://www.slu.edu/","https://www.slubillikens.com","609",100
"Saint Mary's College of California","NCAA DI","West Coast Conference","","CA","https://www.stmarys-ca.edu/","https://www.SMCGaels.com","610",100
"Saint Peter's University","NCAA DI","Metro Atlantic Athletic Conference","","NJ","https://www.saintpeters.edu.","https://www.saintpeterspeacocks.com","617",100
"Sam Houston State University","NCAA DI","Conference USA","","TX","https://www.shsu.edu","https://www.gobearkats.com","624",100
"Samford University","NCAA DI","Southern Conference","","AL","https://www.samford.edu/","https://samfordsports.com","625",100
"San Diego State University","NCAA DI","Mountain West Conference","","CA","https://www.sdsu.edu","https://goaztecs.com","626",100
"San Jose State University","NCAA DI","Mountain West Conference","","CA","https://www.sjsu.edu","https://www.sjsuspartans.com","630",100
"Santa Clara University","NCAA DI","West Coast Conference","","CA","https://scu.edu","https://santaclarabroncos.com","631",100
"Seattle University","NCAA DI","West Coast Conference","","WA","https://seattleu.edu","https://goseattleu.com","1356",100
"Seton Hall University","NCAA DI","Big East Conference","","NJ","https://www.shu.edu","https://www.shupirates.com","635",100
"Siena University","NCAA DI","Metro Atlantic Athletic Conference","","NY","https://www.siena.edu","https://www.sienasaints.com","639",100
"South Carolina State University","NCAA DI","Mid-Eastern Athletic Conf.","","SC","https://www.scsu.edu/","https://www.scsuathletics.com/index.aspx","647",100
"South Dakota State University","NCAA DI","The Summit League","","SD","https://www.sdstate.edu","https://www.gojacks.com","649",100
"Southeast Missouri State University","NCAA DI","Ohio Valley Conference","","MO","https://www.semo.edu","https://www.semoredhawks.com","654",100
"Southeastern Louisiana University","NCAA DI","Southland Conference","","LA","https://www.southeastern.edu","https://www.lionsports.net","655",100
"Southern Illinois University at Carbondale","NCAA DI","Missouri Valley Conference","","IL","https://www.siuc.edu/","https://www.siusalukis.com/","659",100
"Southern Illinois University Edwardsville","NCAA DI","Ohio Valley Conference","","IL","https://www.siue.edu","https://www.siuecougars.com","660",100
"Southern Methodist University","NCAA DI","Atlantic Coast Conference","","TX","https://www.smu.edu","https://www.smumustangs.com","663",100
"Southern University, Baton Rouge","NCAA DI","Southwestern Athletic Conf.","","LA","https://www.subr.edu","https://www.gojagsports.com","665",100
"Southern Utah University","NCAA DI","Western Athletic Conference","","UT","https://www.suu.edu","https://www.suutbirds.com","667",100
"St. Bonaventure University","NCAA DI","Atlantic 10 Conference","","NY","https://www.sbu.edu","https://www.gobonnies.com","596",100
"St. John's University (New York)","NCAA DI","Big East Conference","","NY","https://www.stjohns.edu","https://www.redstormsports.com","603",100
"Stanford University","NCAA DI","Atlantic Coast Conference","","CA","https://www.stanford.edu","https://gostanford.com/","674",100
"Stephen F. Austin State University","NCAA DI","Southland Conference","","TX","https://www.sfasu.edu/","https://SFAjacks.com","676",100
