Name,Division,City,State,Website,Phone,NCAA_ID,Data_Quality
"East Stroudsburg University of Pennsylvania","NCAA D1","","PA","https://www.esu.edu","","197",70
"East Tennessee State University","NCAA D1","","TN","https://www.etsu.edu","","198",70
"East Texas A&M University","NCAA D1","","TX","https://www.etamu.edu","","199",70
"East Texas Baptist University","NCAA D1","","TX","https://www.etbu.edu","","1062",70
"Eastern Connecticut State University","NCAA D1","","CT","https://www.easternct.edu","","200",70
"Eastern Illinois University","NCAA D1","","IL","https://www.eiu.edu","","201",70
"Eastern Kentucky University","NCAA D1","","KY","https://www.eku.edu","","202",70
"Eastern Mennonite University","NCAA D1","","VA","https://www.emu.edu","","203",70
"Eastern Michigan University","NCAA D1","","MI","https://www.emich.edu","","204",70
"Eastern New Mexico University","NCAA D1","","NM","https://www.enmu.edu","","206",70
"Eastern University","NCAA D1","","PA","https://www.eastern.edu","","8968",70
"Eastern Washington University","NCAA D1","","WA","https://www.ewu.edu/","","207",70
"Eckerd College","NCAA D1","","FL","https://www.eckerd.edu/","","208",70
"Edgewood University","NCAA D1","","WI","https://www.edgewood.edu","","1066",70
"Edward Waters University","NCAA D1","","FL","https://www.ewu.edu","","30244",70
"Elizabeth City State University","NCAA D1","","NC","https://www.ecsu.edu","","210",70
"Elizabethtown College","NCAA D1","","PA","https://www.etown.edu","","211",70
"Elmhurst University","NCAA D1","","IL","https://public.elmhurst.edu/","","212",70
"Elmira College","NCAA D1","","NY","https://www.elmira.edu","","213",70
"Elms College","NCAA D1","","MA","https://www.elms.edu","","532",70
"Elon University","NCAA D1","","NC","https://www.elon.edu","","1068",70
"Embry-Riddle Aeronautical University (Florida)","NCAA D1","","FL","https://www.erau.edu","","9680",70
"Emerson College","NCAA D1","","MA","https://www.emerson.edu","","214",70
"Emmanuel College (Massachusetts)","NCAA D1","","MA","https://www.emmanuel.edu","","215",70
"Emmanuel University (Georgia)","NCAA D1","","GA","https://www.ec.edu","","30193",70
"Emory & Henry University","NCAA D1","","VA","https://www.emoryhenry.edu","","216",70
"Emory University","NCAA D1","","GA","https://www.emory.edu","","217",70
"Emporia State University","NCAA D1","","KS","https://www.emporia.edu","","1071",70
"Endicott College","NCAA D1","","MA","https://www.endicott.edu","","8981",70
"Erskine College","NCAA D1","","SC","https://www.erskine.edu","","1072",70
"Eureka College","NCAA D1","","IL","https://www.eureka.edu","","218",70
"Fairfield University","NCAA D1","","CT","https://fairfield.edu","","220",70
"Fairleigh Dickinson University, Florham","NCAA D1","","NJ","https://www.fdu.edu","","221",70
"Fairleigh Dickinson University, Metropolitan Campus","NCAA D1","","NJ","https://www.fdu.edu","","222",70
"Fairmont State University","NCAA D1","","WV","https://www.fairmontstate.edu","","1076",70
"Farmingdale State College","NCAA D1","","NY","https://www.farmingdale.edu","","27892",70
"Fayetteville State University","NCAA D1","","NC","https://www.uncfsu.edu","","223",70
"Felician University","NCAA D1","","NJ","https://www.felician.edu","","23157",70
"Ferris State University","NCAA D1","","MI","https://www.ferris.edu","","224",70
"Ferrum College","NCAA D1","","VA","https://www.ferrum.edu","","225",70
"Fitchburg State University","NCAA D1","","MA","https://www.fitchburgstate.edu","","227",70
"Flagler College","NCAA D1","","FL","https://www.flagler.edu","","30092",70
"Florida A&M University","NCAA D1","","FL","https://www.famu.edu","","228",70
"Florida Atlantic University","NCAA D1","","FL","https://www.fau.edu","","229",70
"Florida Gulf Coast University","NCAA D1","","FL","https://www.fgcu.edu/","","28755",70
"Florida Institute of Technology","NCAA D1","","FL","https://www.fit.edu/","","230",70
"Florida International University","NCAA D1","","FL","https://www.fiu.edu","","231",70
"Florida Southern College","NCAA D1","","FL","https://www.flsouthern.edu","","233",70
"Florida State University","NCAA D1","","FL","https://www.fsu.edu","","234",70
"Fordham University","NCAA D1","","NY","https://www.fordham.edu","","236",70
"Fort Hays State University","NCAA D1","","KS","https://www.fhsu.edu","","9011",70
"Fort Lewis College","NCAA D1","","CO","https://www.fortlewis.edu","","1083",70
"Fort Valley State University","NCAA D1","","GA","https://www.fvsu.edu","","237",70
"Framingham State University","NCAA D1","","MA","https://www.framingham.edu","","238",70
"Francis Marion University","NCAA D1","","SC","https://www.fmarion.edu","","1085",70
"Franciscan University of Steubenville","NCAA D1","","OH","https://www.franciscan.edu","","30069",70
"Franklin & Marshall College","NCAA D1","","PA","https://www.fandm.edu","","239",70
"Franklin College","NCAA D1","","IN","https://www.franklincollege.edu","","2694",70
"Franklin Pierce University","NCAA D1","","NH","https://www.franklinpierce.edu","","241",70
"Fresno Pacific University","NCAA D1","","CA","https://www.fresno.edu","","30147",70
"Frostburg State University","NCAA D1","","MD","https://www.frostburg.edu/","","243",70
"Furman University","NCAA D1","","SC","https://www.furman.edu","","244",70
"Gallaudet University","NCAA D1","","DC","https://www.gallaudet.edu","","245",70
"Gannon University","NCAA D1","","PA","https://www.gannon.edu","","246",70
"Gardner-Webb University","NCAA D1","","NC","https://gardner-webb.edu","","1092",70
"Geneva College","NCAA D1","","PA","https://www.geneva.edu","","30084",70
"George Fox University","NCAA D1","","OR","https://www.georgefox.edu","","1094",70
"George Mason University","NCAA D1","","VA","https://www.gmu.edu","","248",70
"George Washington University","NCAA D1","","DC","https://www.gwu.edu","","249",70
"Georgetown University","NCAA D1","","DC","https://georgetown.edu","","251",70
"Georgia College","NCAA D1","","GA","https://www.gcsu.edu","","1096",70
"Georgia Institute of Technology","NCAA D1","","GA","https://www.gatech.edu","","255",70
"Georgia Southern University","NCAA D1","","GA","https://georgiasouthern.edu","","253",70
"Georgia Southwestern State University","NCAA D1","","GA","https://www.gsw.edu","","1097",70
"Georgia State University","NCAA D1","","GA","https://gsu.edu","","254",70
"Georgian Court University","NCAA D1","","NJ","https://www.georgian.edu","","9004",70
"Gettysburg College","NCAA D1","","PA","https://www.gettysburg.edu","","258",70
"Glenville State University","NCAA D1","","WV","https://www.glenville.edu","","1098",70
"Goldey-Beacom College","NCAA D1","","DE","https://www.gbc.edu","","8366",70
"Gonzaga University","NCAA D1","","WA","https://www.gonzaga.edu","","260",70
"Gordon College","NCAA D1","","MA","https://www.gordon.edu","","1099",70
"Goucher College","NCAA D1","","MD","https://www.goucher.edu","","1467",70
"Grambling State University","NCAA D1","","LA","https://www.gram.edu","","261",70
"Grand Canyon University","NCAA D1","","AZ","https://www.gcu.edu/","","1104",70
"Grand Valley State University","NCAA D1","","MI","https://www.gvsu.edu","","262",70
"Greensboro College","NCAA D1","","NC","https://www.greensboro.edu","","263",70
"Greenville University","NCAA D1","","IL","https://www.greenville.edu","","1111",70
"Grinnell College","NCAA D1","","IA","https://www.grinnell.edu/","","264",70
"Grove City College","NCAA D1","","PA","https://www.gcc.edu","","265",70
"Guilford College","NCAA D1","","NC","https://www.guilford.edu","","1112",70
"Gustavus Adolphus College","NCAA D1","","MN","https://www.gustavus.edu","","266",70
"Gwynedd Mercy University","NCAA D1","","PA","https://www.gmercyu.edu","","12399",70
"Hamilton College","NCAA D1","","NY","https://www.hamilton.edu","","267",70
"Hamline University","NCAA D1","","MN","https://www.hamline.edu","","268",70
"Hampden-Sydney College","NCAA D1","","VA","https://www.hsc.edu/","","269",70
"Hampton University","NCAA D1","","VA","https://hamptonu.edu","","270",70
"Hanover College","NCAA D1","","IN","https://www.hanover.edu","","1115",70
"Hardin-Simmons University","NCAA D1","","TX","https://www.hsutx.edu","","271",70
"Harding University","NCAA D1","","AR","https://www.harding.edu","","1116",70
"Hartwick College","NCAA D1","","NY","https://www.hartwick.edu","","273",70
"Harvard University","NCAA D1","","MA","https://www.harvard.edu/","","275",70
"Haverford College","NCAA D1","","PA","https://www.haverford.edu","","276",70
"Hawaii Pacific University","NCAA D1","","HI","https://www.hpu.edu","","2696",70
"Heidelberg University","NCAA D1","","OH","https://www.heidelberg.edu","","278",70
"Henderson State University","NCAA D1","","AR","https://hsu.edu","","1123",70
"Hendrix College","NCAA D1","","AR","https://www.hendrix.edu","","1124",70
"High Point University","NCAA D1","","NC","https://www.highpoint.edu","","19651",70
"Hilbert College","NCAA D1","","NY","https://www.hilbert.edu","","8398",70
"Hillsdale College","NCAA D1","","MI","https://www.hillsdale.edu","","280",70
"Hiram College","NCAA D1","","OH","https://www.hiram.edu","","281",70
"Hobart and William Smith Colleges","NCAA D1","","NY","https://www.hws.edu","","282",70
"Hofstra University","NCAA D1","","NY","https://www.hofstra.edu","","283",70
"Hollins University","NCAA D1","","VA","https://www.hollins.edu","","284",70
"Holy Family University","NCAA D1","","PA","https://www.holyfamily.edu","","1126",70
"Hood College","NCAA D1","","MD","https://www.hood.edu","","8404",70
"Hope College","NCAA D1","","MI","https://www.hope.edu","","286",70
"Houghton University","NCAA D1","","NY","https://www.houghton.edu","","30160",70
"Houston Christian University","NCAA D1","","TX","https://www.hc.edu","","287",70
"Howard Payne University","NCAA D1","","TX","https://www.hputx.edu","","2741",70
"Howard University","NCAA D1","","DC","https://www.howard.edu","","290",70
"Hunter College","NCAA D1","","NY","https://www.hunter.cuny.edu/","","292",70
"Huntingdon College","NCAA D1","","AL","https://www.huntingdon.edu","","1130",70
"Husson University","NCAA D1","","ME","https://www.husson.edu","","1133",70
"Idaho State University","NCAA D1","","ID","https://www.isu.edu","","294",70
"Illinois College","NCAA D1","","IL","https://www.ic.edu","","297",70
"Illinois Institute of Technology","NCAA D1","","IL","https://www.iit.edu","","30172",70
"Illinois State University","NCAA D1","","IL","https://IllinoisState.edu","","299",70
"Illinois Wesleyan University","NCAA D1","","IL","https://www.iwu.edu/","","300",70
"Immaculata University","NCAA D1","","PA","https://www.immaculata.edu","","303",70
"Indiana State University","NCAA D1","","IN","https://www.indstate.edu","","305",70
"Indiana University Indianapolis","NCAA D1","","IN","https://indianapolis.iu.edu/","","2699",70
"Indiana University of Pennsylvania","NCAA D1","","PA","https://iup.edu","","307",70
"Indiana University, Bloomington","NCAA D1","","IN","https://www.iub.edu","","306",70
"Iona University","NCAA D1","","NY","https://www.iona.edu","","310",70
"Iowa State University","NCAA D1","","IA","https://www.iastate.edu","","311",70
"Ithaca College","NCAA D1","","NY","https://www.ithaca.edu/","","313",70
"Jackson State University","NCAA D1","","MS","https://www.jsums.edu/","","314",70
"Jacksonville State University","NCAA D1","","AL","https://www.jsu.edu","","315",70
"Jacksonville University","NCAA D1","","FL","https://www.ju.edu","","316",70
"James Madison University","NCAA D1","","VA","https://www.jmu.edu/","","317",70
"Jessup University ","NCAA D1","","CA","https://jessup.edu","","30262",70
"John Carroll University","NCAA D1","","OH","https://www.jcu.edu","","320",70
"John Jay College of Criminal Justice","NCAA D1","","NY","https://www.jjay.cuny.edu/","","321",70
"Johns Hopkins University","NCAA D1","","MD","https://www.jhu.edu/","","322",70
"Johnson & Wales University (Providence)","NCAA D1","","RI","https://www.jwu.edu","","22626",70
"Johnson C. Smith University","NCAA D1","","NC","https://www.jcsu.edu","","323",70
"Juniata College","NCAA D1","","PA","https://www.juniata.edu/","","325",70
"Kalamazoo College","NCAA D1","","MI","https://www.kzoo.edu/","","326",70
"Kansas State University","NCAA D1","","KS","https://www.k-state.edu","","327",70
"Kean University","NCAA D1","","NJ","https://www.kean.edu","","329",70
"Keene State College","NCAA D1","","NH","https://www.keene.edu","","330",70
